| relid  | schemaname          | relname                    | seq_scan | last_seq_scan                 | seq_tup_read | idx_scan | last_idx_scan                 | idx_tup_fetch | n_tup_ins | n_tup_upd | n_tup_del | n_tup_hot_upd | n_tup_newpage_upd | n_live_tup | n_dead_tup | n_mod_since_analyze | n_ins_since_vacuum | last_vacuum | last_autovacuum               | last_analyze | last_autoanalyze              | vacuum_count | autovacuum_count | analyze_count | autoanalyze_count |
| 17158  | storage             | s3_multipart_uploads_parts | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17011  | auth                | oauth_clients              | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16546  | storage             | buckets                    | 47       | 2026-03-06 09:37:57.287711+00 | 69           | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 133878 | public              | page_views                 | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36571  | public              | mission_types              | 1        | 2026-03-04 07:23:02.43697+00  | 7            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16816  | auth                | mfa_amr_claims             | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 36621  | public              | point_config               | 1        | 2026-03-04 07:23:25.10833+00  | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 17074  | auth                | oauth_consents             | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16804  | auth                | mfa_challenges             | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 82153  | public              | social_comments            | 33       | 2026-03-06 08:33:00.03694+00  | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 16929  | auth                | flow_state                 | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 57510  | cron                | job_run_details            | 0        | null                          | 0            | 0        | null                          | 0             | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
| 189842 | public              | sitewise_lat_long          | 3223     | 2026-03-06 09:34:32.554718+00 | 14405012     | 33       | 2026-03-04 14:48:37.606402+00 | 10404         | 0         | 0         | 0         | 0             | 0                 | 0          | 0          | 0                   | 0                  | null        | null                          | null         | null                          | 0            | 0                | 0             | 0                 |
